"Tuberculosis incidence (per 100,000 people)",,,,,,,,,,,,,,,,,,
148,Myanmar,411,,403,,384,,380,,376,,373,,369,,365,,361
129,Namibia,711,,918,,649,,610,,552,,518,,480,,495,,446
n.a,Nauru,46,,125,,34,,57,,67,,78,,90,,113,,112
149,Nepal,163,,163,,163,,162,,161,,159,,158,,156,,154
10,Netherlands,9,,7.9,,7.1,,6.7,,6.3,,5.7,,5.5,,5.8,,5.9
16,New Zealand,10,,9.2,,7.9,,7.9,,7.5,,6.9,,7.5,,7.3,,7.3
124,Nicaragua,60,,44,,53,,58,,59,,58,,55,,51,,48
189,Niger,191,,143,,113,,109,,105,,102,,98,,95,,93
157,Nigeria,219,,219,,219,,219,,219,,219,,219,,219,,219
1,Norway,5.6,,6.9,,6.9,,7.4,,7.9,,8.2,,6.8,,6.3,,6.1
48,Oman,16,,12,,12,,12,,13,,10,,10,,9,,9
150,Pakistan,275,,276,,276,,276,,276,,275,,270,,270,,268
60,Palau,65,,58,,107,,67,,22,,44,,76,,76,,123
119,"Palestine, State of",3.2,,1,,0.9,,1,,0.9,,1.1,,1.2,,1.1,,1
66,Panama,48,,61,,53,,55,,50,,47,,47,,52,,55
153,Papua New Guinea,432,,432,,432,,432,,432,,432,,432,,432,,432
110,Paraguay,42,,43,,42,,43,,44,,40,,39,,41,,42
89,Peru,186,,153,,132,,131,,123,,122,,121,,119,,117
113,Philippines,590,,539,,531,,535,,539,,543,,546,,550,,554
33,Poland,33,,25,,21,,24,,21,,21,,20,,19,,18
41,Portugal,47,,36,,28,,27,,27,,26,,24,,23,,20
37,Qatar,54,,43,,37,,33,,40,,30,,23,,25,,23
52,Romania,143,,140,,105,,97,,92,,89,,86,,82,,74
49,Russian Federation,95,,87,,86,,81,,76,,73,,70,,68,,66
158,Rwanda,98,,101,,88,,82,,76,,69,,63,,56,,50
72,Saint Kitts and Nevis,0,,0,,4.5,,2.2,,4.4,,0,,15,,5.4,,0
90,Saint Lucia,6.6,,9.8,,6,,4.6,,7.2,,5.9,,3.9,,9.1,,1.9
99,Saint Vincent and the Grenadines,17,,7.4,,16,,18,,32,,3.2,,5.3,,7.4,,6.3
104,Samoa,28,,15,,8.6,,12,,13,,13,,14,,11,,7.7
n.a,San Marino,4.2,,0,,0,,0,,0,,0,,0,,0,,0
143,Sao Tome and Principe,114,,105,,96,,94,,93,,91,,97,,97,,99
39,Saudi Arabia,19,,17,,19,,16,,15,,13,,12,,12,,10
164,Senegal,155,,141,,136,,136,,136,,136,,138,,139,,140
67,Serbia,,,40,,30,,28,,24,,27,,24,,21,,19
62,Seychelles,28,,18,,21,,26,,25,,30,,16,,9.8,,15
184,Sierra Leone,305,,316,,317,,316,,314,,313,,310,,307,,304
9,Singapore,51,,35,,35,,36,,50,,46,,46,,45,,51
38,Slovakia,22,,15,,8.7,,8,,6.8,,8.4,,6.8,,6.5,,5.9
25,Slovenia,21,,15,,9.5,,10,,7.5,,7.7,,7.9,,7.2,,6.5
152,Solomon Islands,91,,106,,80,,92,,82,,80,,75,,89,,84
n.a,Somalia,285,,285,,286,,286,,286,,285,,274,,274,,270
113,South Africa,585,,932,,948,,922,,892,,860,,834,,807,,781
187,South Sudan,,,,,,,146,,146,,146,,146,,146,,146
26,Spain,22,,19,,17,,16,,14,,13,,12,,10,,10
76,Sri Lanka,66,,66,,66,,66,,66,,66,,65,,65,,65
167,Sudan,128,,117,,107,,105,,103,,100,,94,,88,,82
100,Suriname,24,,29,,46,,29,,30,,32,,33,,33,,26
7,Sweden,5.4,,6.9,,7.5,,6.5,,7.1,,7.3,,7.5,,9.2,,8.2
2,Switzerland,9.3,,8,,7.5,,7.6,,6,,6.6,,5.9,,7.3,,7.8
155,Syrian Arab Republic,39,,29,,22,,22,,18,,17,,23,,19,,21
127,Tajikistan,219,,196,,128,,117,,108,,100,,91,,86,,85
154,Tanzania (United Republic of),503,,510,,426,,401,,378,,336,,327,,306,,287
83,Thailand,241,,224,,181,,176,,172,,170,,171,,172,,172
80,The former Yugoslav Republic of Macedonia,39,,36,,23,,20,,21,,19,,17,,17,,16
132,Timor-Leste,,,498,,498,,498,,498,,498,,498,,498,,498
165,Togo,52,,71,,76,,73,,69,,64,,58,,52,,46
98,Tonga,28,,20,,12,,9.9,,12,,11,,14,,15,,8.6
69,Trinidad and Tobago,18,,15,,19,,19,,23,,21,,21,,17,,18
95,Tunisia,26,,26,,28,,35,,37,,34,,35,,38,,38
64,Turkey,33,,33,,25,,24,,22,,20,,20,,18,,18
108,Turkmenistan,112,,84,,79,,66,,70,,71,,59,,68,,60
n.a,Tuvalu,195,,138,,153,,130,,204,,191,,158,,209,,207
162,Uganda,276,,233,,210,,207,,205,,203,,202,,202,,201
88,Ukraine,114,,127,,110,,105,,101,,96,,94,,91,,87
34,United Arab Emirates,4.2,,2.6,,1.8,,1.4,,1,,1,,0.8,,0.8,,0.8
14,United Kingdom,12,,15,,14,,15,,14,,13,,11,,10,,9.9
13,United States,6.7,,5.5,,4.2,,3.9,,3.7,,3.3,,3.2,,3.3,,3.1
55,Uruguay,22,,22,,24,,28,,27,,30,,29,,30,,29
105,Uzbekistan,99,,120,,97,,93,,89,,86,,82,,79,,76
138,Vanuatu,110,,83,,69,,67,,65,,62,,63,,63,,56
78,Venezuela (Bolivarian Republic of),33,,32,,28,,27,,27,,27,,26,,29,,32
116,Viet Nam,197,,176,,155,,151,,147,,144,,140,,137,,133
178,Yemen,116,,80,,52,,50,,48,,48,,48,,48,,48
144,Zambia,759,,602,,495,,475,,456,,437,,406,,391,,376
156,Zimbabwe,605,,588,,416,,384,,355,,304,,278,,242,,208
17,Liechtenstein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Last updated: January 30, 2019",,,,,,,,,,,,,,,,,,
